id,source,timestamp,raw_text,user_id,cluster_id,category_hint
1571a0a2-1ab0-489a-b146-c51c5da36877,email,2026-09-04T21:44:34,hey,u027,,noise
898bc394-59b6-4dd0-9e5f-576872e0cb97,support_form,2026-08-28T00:46:07,Can someone look at the email notification system? Getting tripicate [sic] emails for every change.,u035,cluster_D,bug
f7097682-f347-4b78-878d-9bf039210706,support_form,2026-09-02T19:55:04,Why does 'Done' not move the task to the Completed column automatically? Confused.,u018,,ux_confusion
7d72e314-d70d-4843-9229-006ad362519d,email,2026-09-02T16:43:41,The kanban board overlaps on mobile. Cards stack on top of each other.,u007,,bug
79cb3824-673b-4731-869f-3803168a8ad1,email,2026-08-30T21:17:39,Would be great to have a mobile app — the web app on phone is hard to use.,u035,,feature_request
11cb579e-d5b3-41af-b739-9041c2479cb1,support_form,2026-09-07T21:21:55,Just checking if notifications work,u007,,noise
89fb43d4-39f3-4e8a-81d6-1968fd067d84,slack,2026-08-27T05:27:02,I'm experiencing an issue where the login screen displays a spinner indefinitely after I enter my credentials. The page never progresses to the dashboard.,u002,cluster_A,bug
8c6fd5fb-3b67-42d4-a11e-ab9358d3d4d5,email,2026-08-27T12:10:47,"Can the search be global across all workspaces, not just current project?",u031,,feature_request
37f94734-0737-48d9-ae2e-ea616d3ab819,email,2026-08-28T14:20:54,Would love Markdown support in task descriptions.,u016,,feature_request
9e156581-a029-4b9b-bfba-5c92adc07b5b,email,2026-09-01T08:14:24,Bulk reassign tasks please! Reassigning one at a time is tedious with large projects.,u010,,feature_request
ce782a68-14e6-4cf2-bd1f-4bae168f6000,slack,2026-09-05T10:26:20,I typed out a whole project description and it disappeared when I hit save. Lost everything.,u026,,bug
ae11b41b-b7ce-4519-98a4-b04c5df8f3ac,slack,2026-09-01T20:06:56,The login page keeps spinning forever after I enter my password. Never actually logs me in.,u009,,bug
a27d670d-5705-4ae7-8b0c-2e15b8627513,email,2026-09-04T14:34:24,............,u030,,noise
6aa66cad-7f38-4ebf-9df7-5866879b9668,whatsapp,2026-09-06T14:35:12,login broken for me too — just spins forever,u035,cluster_A,bug
7d661295-d0cb-430a-8081-a461ec8927d8,whatsapp,2026-09-09T10:43:58,Would love to be able to set custom fields on tasks — e.g. a 'client name' field.,u025,,feature_request
21324094-716f-4117-af9f-8087d4d96f1c,slack,2026-08-29T12:56:40,Would love Markdown support in task descriptions.,u037,,feature_request
5104e443-bf29-4832-938d-e922346a5e74,whatsapp,2026-09-02T09:16:42,I'll send a proper email later,u001,,noise
e08d3faa-c3b3-4ced-a986-956dc195591f,slack,2026-09-07T17:34:49,CSV export = instant browser freeze. Happens 100% of the time on Chrome 125.,u034,cluster_E,bug
11858e23-2d63-408e-ba07-2ccbd2c0075c,whatsapp,2026-08-30T03:04:57,Push notifs aren't working on iOS at all since the last update.,u003,,bug
8696e2d9-04d6-4ab6-858e-c875a97c20cc,slack,2026-08-30T08:51:36,Where do I find the activity log? I looked everywhere and couldn't find it.,u020,,ux_confusion
3db836ca-6575-44a9-ab51-24a49423aef9,email,2026-09-03T10:15:55,API rate limit errors appearing in the UI even on free tier (should only be paid users).,u005,,bug
f78bdbf8-a707-41d2-9a6d-c8c88d63e6f8,email,2026-09-03T14:19:39,Dropdown menus don't close when I click outside them. Have to press Escape.,u034,,bug
e40e848f-9f1a-4c12-9453-c761cc8e9126,support_form,2026-09-07T17:38:38,Where do I find the activity log? I looked everywhere and couldn't find it.,u040,,ux_confusion
